market,version,candidate_id,component,bucket,weight
nasdaq,new,nasdaq_tech_capital_efficient_growth_revision,Sales Growth FY1,capital_efficiency,0.25
nasdaq,new,nasdaq_tech_capital_efficient_growth_revision,Gross Income Growth FY1,capital_efficiency,0.25
nasdaq,new,nasdaq_tech_capital_efficient_growth_revision,Asset TO exFIN,capital_efficiency,0.25
nasdaq,new,nasdaq_tech_capital_efficient_growth_revision,EPS Revision Ratio,capital_efficiency,0.25
nasdaq,new,nasdaq_tech_growth_confirmation,Sales Growth FY1,growth_confirmation,0.3333333333333333
nasdaq,new,nasdaq_tech_growth_confirmation,Gross Income Growth FY1,growth_confirmation,0.3333333333333333
nasdaq,new,nasdaq_tech_growth_confirmation,EPS Revision Ratio,growth_confirmation,0.3333333333333333
nasdaq,new,nasdaq_tech_asset_light_growth_revision,Sales Growth FY1,intangible_investment,0.2
nasdaq,new,nasdaq_tech_asset_light_growth_revision,Oper Margin,intangible_investment,0.2
nasdaq,new,nasdaq_tech_asset_light_growth_revision,tech_capex_intensity_raw,intangible_investment,0.2
nasdaq,new,nasdaq_tech_asset_light_growth_revision,tech_rd_intensity_raw,intangible_investment,0.2
nasdaq,new,nasdaq_tech_asset_light_growth_revision,EPS Revision Ratio,intangible_investment,0.2
nasdaq,new,nasdaq_tech_downside_aware_growth_revision,Sales Growth FY1,residual_risk,0.3333333333333333
nasdaq,new,nasdaq_tech_downside_aware_growth_revision,EPS Revision Ratio,residual_risk,0.3333333333333333
nasdaq,new,nasdaq_tech_downside_aware_growth_revision,benchmark_residual_downside_volatility_252_raw,residual_risk,0.3333333333333333
nasdaq,new,nasdaq_ext_subset_quality_improvement_intangible_investment,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
nasdaq,new,nasdaq_ext_subset_quality_improvement_intangible_investment,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
nasdaq,new,nasdaq_ext_subset_quality_improvement_intangible_investment,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
nasdaq,new,nasdaq_ext_subset_quality_improvement_intangible_investment,ROE avg FY0 score_delta lag3,quality_improvement,0.08333333333333333
nasdaq,new,nasdaq_ext_subset_quality_improvement_intangible_investment,Oper Margin score_delta lag3,quality_improvement,0.08333333333333333
nasdaq,new,nasdaq_ext_subset_quality_improvement_intangible_investment,ROE avg FY0 score_delta lag1,quality_improvement,0.08333333333333333
nasdaq,new,nasdaq_ext_subset_quality_improvement_intangible_investment,Asset-light Growth + Revision,intangible_investment,0.5
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,Oper Margin directional_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,Oper Margin directional_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,ROE avg FY0 directional_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,ROE avg FY0 score_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,Oper Margin score_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,ROE avg FY0 score_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,Earns Yield FY1 directional_delta lag3,earnings_yield_improvement,0.2
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,Growth + Earnings Revision,growth_confirmation,0.2
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,Capital-efficient Growth + Revision,capital_efficiency,0.2
nasdaq,new,nasdaq_ext_family_subset_480bdc4bdf2a,Asset-light Growth + Revision,intangible_investment,0.2
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,Oper Margin directional_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,Oper Margin directional_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,ROE avg FY0 directional_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,ROE avg FY0 score_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,Oper Margin score_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,ROE avg FY0 score_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,Earns Yield FY1 directional_delta lag3,earnings_yield_improvement,0.2
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,Growth + Earnings Revision,growth_confirmation,0.2
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,Asset-light Growth + Revision,intangible_investment,0.2
nasdaq,new,nasdaq_ext_family_subset_2b9206da665a,Downside-aware Growth + Revision,residual_risk,0.2
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,momentum: EPS NTM 3M Growth,revision,0.1
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,momentum: EPS Revision Ratio,revision,0.1
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,Oper Margin directional_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,Oper Margin directional_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,ROE avg FY0 directional_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,ROE avg FY0 score_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,Oper Margin score_delta lag3,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,ROE avg FY0 score_delta lag1,quality_improvement,0.03333333333333333
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,Earns Yield FY1 directional_delta lag3,earnings_yield_improvement,0.2
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,Growth + Earnings Revision,growth_confirmation,0.2
nasdaq,new,nasdaq_ext_family_subset_f24056961b83,Asset-light Growth + Revision,intangible_investment,0.2
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Oper Margin directional_delta lag1,quality_improvement,0.027777777777777776
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Oper Margin directional_delta lag3,quality_improvement,0.027777777777777776
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,ROE avg FY0 directional_delta lag1,quality_improvement,0.027777777777777776
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,ROE avg FY0 score_delta lag3,quality_improvement,0.027777777777777776
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Oper Margin score_delta lag3,quality_improvement,0.027777777777777776
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,ROE avg FY0 score_delta lag1,quality_improvement,0.027777777777777776
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Earns Yield FY1 directional_delta lag3,earnings_yield_improvement,0.16666666666666666
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Growth + Earnings Revision,growth_confirmation,0.16666666666666666
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Capital-efficient Growth + Revision,capital_efficiency,0.16666666666666666
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Asset-light Growth + Revision,intangible_investment,0.16666666666666666
nasdaq,new,nasdaq_ext_family_subset_39d76e444771,Downside-aware Growth + Revision,residual_risk,0.16666666666666666
nasdaq,new,nasdaq_reldelta_quality_oper_margin_lag6_score,Oper Margin directional_delta lag6,Oper Margin,1.0
nasdaq,new,nasdaq_relrank_quality_oper_margin_lag6_score,Oper Margin score_delta lag6,Oper Margin,1.0
nasdaq,new,nasdaq_relrank_quality_roe_avg_fy0_lag6_score,ROE avg FY0 score_delta lag6,ROE avg FY0,1.0
nasdaq,new,nasdaq_reldelta_quality_roe_avg_fy0_lag6_score,ROE avg FY0 directional_delta lag6,ROE avg FY0,1.0
nasdaq,new,nasdaq_relrank_dividend_dvd_payout_fy0_lag6_score,DVD Payout FY0 score_delta lag6,DVD Payout FY0,1.0
nasdaq,new,nasdaq_reldelta_value_earns_yield_fy1_lag6_score,Earns Yield FY1 directional_delta lag6,Earns Yield FY1,1.0
nasdaq,new,nasdaq_lag6arch_dbf105fcd06e,nasdaq_relrank_quality_oper_margin_lag6_score,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_dbf105fcd06e,PMOM 12M1M,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_9d945cfecf79,nasdaq_relrank_quality_roe_avg_fy0_lag6_score,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_9d945cfecf79,PMOM 12M1M,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_72f998920907,nasdaq_reldelta_quality_oper_margin_lag6_score,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_72f998920907,PMOM 12M1M,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_b12b1ebdad93,nasdaq_relrank_dividend_dvd_payout_fy0_lag6_score,lag6_relative|revision|pmom,0.3333333333333333
nasdaq,new,nasdaq_lag6arch_b12b1ebdad93,EPS Revision Ratio,lag6_relative|revision|pmom,0.3333333333333333
nasdaq,new,nasdaq_lag6arch_b12b1ebdad93,PMOM 12M1M,lag6_relative|revision|pmom,0.3333333333333333
nasdaq,new,nasdaq_lag6arch_e8ba4b8eb1ec,nasdaq_reldelta_quality_oper_margin_lag6_score,lag6_relative|revision,0.5
nasdaq,new,nasdaq_lag6arch_e8ba4b8eb1ec,EPS Revision Ratio,lag6_relative|revision,0.5
nasdaq,new,nasdaq_lag6arch_e0fa560f3999,nasdaq_relrank_quality_oper_margin_lag6_score,lag6_relative|revision,0.5
nasdaq,new,nasdaq_lag6arch_e0fa560f3999,EPS Revision Ratio,lag6_relative|revision,0.5
nasdaq,new,nasdaq_lag6arch_3f7629891f8a,nasdaq_relrank_dividend_dvd_payout_fy0_lag6_score,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_3f7629891f8a,PMOM 12M1M,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_a70312a6dc48,nasdaq_reldelta_quality_roe_avg_fy0_lag6_score,lag6_relative|pmom,0.5
nasdaq,new,nasdaq_lag6arch_a70312a6dc48,PMOM 12M1M,lag6_relative|pmom,0.5
