market,benchmark,version,version_label,candidate_id,label,group,kind,top_cagr,active_cagr,top_worst_cagr,top_worst_terminal,robust_score,coverage,turnover,start_date,end_date,series_points,component_count,subset_keys,thesis,economics,source_run,source_document
sp500,SP500,old,旧基线,sp500_syn_subset_08e95a53d5,quality_improvement + deleveraging,旧基线 · 最新核心组合,family_subset,0.2477949908594279,0.07310098124333164,0.14455286736984752,9.925889751445487,6.564291033817125,,0.5639694566270068,2009-07-31,2026-07-31,205,7,quality_improvement|deleveraging,质量改善 + 去杠杆是最稳健的精简 bucket sleeve。,它把经营改善与资本结构修复结合，避免把静态低估值或高增长当作无条件信号。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_syn_subset_6d32f9616c,quality_improvement + earnings_yield_improvement + deleveraging,旧基线 · 最新核心组合,family_subset,0.24695758301364723,0.07238081231526983,0.1337179911865749,8.444002426145284,5.788555909769062,,0.6620898797870777,2009-07-31,2026-07-31,205,9,quality_improvement|earnings_yield_improvement|deleveraging,3-bucket subset,全样本证据首先支持盈利能力、资本结构与估值状态的变化；静态 growth / value / quality 只构成候选池，不能因为属于同一 family 就自动获得组合资格。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_syn_full_bucket_equal,all selected buckets equal-weight,旧基线 · 最新核心组合,full_model,0.2364816395247642,0.06185611778370115,0.10394687683124193,5.506903486961024,3.639303536193531,,0.5318825182805674,2009-04-30,2026-07-31,208,21,,完整模型提供广泛分散，但没有证明所有 bucket 合在一起会产生乘数效应。,更宽的组合牺牲一部分集中度，换取跨情景的覆盖；LOO 用来识别哪些 bucket 真正支撑全模型。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_syn_pair_38d49f1c93b4,Oper Margin directional_delta lag1 + NetDebt to EBITDA exFIN directional_delta lag1,旧基线 · 已证实协同 pair,pair,0.26338158853529237,0.08650542138192763,0.15749270355925904,12.01619531934496,7.864358136593736,,0.8461280878417028,2009-07-31,2026-07-31,205,2,,经营改善与去杠杆是有严格 pair 证据的互补组合。,一条腿捕捉盈利质量在改善，另一条腿排除由杠杆堆出的表面回报；两者共同指向更可持续的企业基本面修复。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_reldelta_quality_oper_margin_lag1_score,Oper Margin directional_delta lag1,旧基线 · 通过 gate 的单变量,official candidate,0.2675102495200288,0.09005606085908258,0.13936167409488776,9.187736440794247,6.886513386898592,0.9891400908319607,0.8654765110752893,2009-07-31,2026-07-31,205,1,,利润率改善是全样本中最强的单变量相对状态信号。,同一行业内的利润率改善通常意味着定价、成本控制或经营杠杆兑现；相对变化比单纯的高利润率更接近边际盈利能力的再定价。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_reldelta_quality_roe_avg_fy0_lag1_score,ROE avg FY0 directional_delta lag1,旧基线 · 通过 gate 的单变量,official candidate,0.24374668908456654,0.06961945051208485,0.11981004948818863,6.845741465806139,4.873388756360927,0.9537755152967012,0.8395887741171878,2009-07-31,2026-07-31,205,1,,direction-adjusted level change versus lag 1 screen observations,全样本证据首先支持盈利能力、资本结构与估值状态的变化；静态 growth / value / quality 只构成候选池，不能因为属于同一 family 就自动获得组合资格。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_syn_subset_b3c0d0fc7d,revision + quality_improvement + deleveraging,旧基线 · 领先 family subset,family_subset,0.23938641497089108,0.0658696242472332,0.12263522006198802,7.145339784694203,4.856934950424421,,0.4545681275157543,2009-07-31,2026-07-31,205,9,revision|quality_improvement|deleveraging,3-bucket subset,全样本证据首先支持盈利能力、资本结构与估值状态的变化；静态 growth / value / quality 只构成候选池，不能因为属于同一 family 就自动获得组合资格。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_syn_subset_ee96431827,quality_improvement + deleveraging + value_improvement,旧基线 · 领先 family subset,family_subset,0.2359837700023324,0.06294335696668574,0.12946428995004156,7.921298637312484,4.850301492217029,,0.7356501822165804,2009-07-31,2026-07-31,205,10,quality_improvement|deleveraging|value_improvement,3-bucket subset,全样本证据首先支持盈利能力、资本结构与估值状态的变化；静态 growth / value / quality 只构成候选池，不能因为属于同一 family 就自动获得组合资格。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_reldelta_quality_netdebt_to_ebitda_exfin_lag1_score,NetDebt to EBITDA exFIN directional_delta lag1,旧基线 · 通过 gate 的单变量,official candidate,0.2549521765738172,0.07925614540836956,0.11592261945389248,6.452778657216737,4.823578517517519,0.8099815341618006,0.8396303472151273,2009-07-31,2026-07-31,205,1,,direction-adjusted level change versus lag 1 screen observations,全样本证据首先支持盈利能力、资本结构与估值状态的变化；静态 growth / value / quality 只构成候选池，不能因为属于同一 family 就自动获得组合资格。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
sp500,SP500,old,旧基线,sp500_syn_subset_27b784f1d4,growth + quality_improvement + deleveraging,旧基线 · 领先 family subset,family_subset,0.23586900012463952,0.06284465512121296,0.11991998834820383,6.857175511305299,4.398372567340738,,0.3914563849420294,2009-07-31,2026-07-31,205,10,growth|quality_improvement|deleveraging,3-bucket subset,全样本证据首先支持盈利能力、资本结构与估值状态的变化；静态 growth / value / quality 只构成候选池，不能因为属于同一 family 就自动获得组合资格。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\sp500-factor-explorer.html
